"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
625,"1838","鬥爭","dòuzhēng ","I","(VA)","battle, fight"
634,"3042","賭","dŭ ","I","(VA)","gamble, bet"
635,"1351","度","dù ","I","(VA)","spend (holidays), pass (time)"
636,"2828","端","duān ","I","(VA)","hold sth. level, carry"
638,"3262","鍛鍊","duànliàn ","I","(VA)","engage in physical exercise, temper, steel, toughen"
640,"1899","堆","duī ","I","(VA)","pile/heap up"
644,"2770","對待","duìdài ","I","(VA)","treat, approach, handle"
645,"2765","對付","duìfù ","I","(VA)","deal/cope with, counter, tackle, make do"
647,"2767","對抗","duìkàng ","I","(VA)","resist, oppose"
652,"3352","蹲","dūn ","I","(VA)","squat on heels, stay"
661,"2751","奪","duó ","I","(VA)","take by force, seize, wrest, force one's way, contend for, deprive"
662,"2668","躲","duŏ","I","(VA)","hide (oneself), avoid, dodge"
668,"2311","發","fā ","I","(VA)","send out, deliver, start, set out, begin"
670,"2319","發表","fābiăo ","I","(VA)","publish, issue"
672,"2313","發出","fāchū ","I","(VA)","issue, send/give out"
674,"2325","發動","fādòng ","I","(VA)","mobilize, arouse"
675,"2315","發抖","fādŏu ","I","(VA)","shiver, shake, quiver, tremble"
679,"2318","發明","fāmíng ","I","(VA)","invent, expound"
680,"2328","發脾氣","fāpíqì ","I","(VA)","lose temper, get angry"
681,"2324","發起","fāqĭ ","I","(VA)","initiate, sponsor, start, launch"
682,"2321","發射","fāshè ","I","(VA)","launch, project, discharge, shoot, transmit, emit"
683,"2314","發行","fāxíng ","I","(VA)","issue, publish, distribute, put on sale"
684,"2316","發言","fāyán ","I","(VA)","speak, make statement/speech"
685,"2327","發揚","fāyáng ","I","(VA)","develop, carry on, make most of"
686,"2320","發音","fāyīn ","I","(VA)","pronounce"
687,"2322","發展","fāzhăn ","I","(VA)","develop, expand, grow"
688,"2850","罰","fá ","I","(VA)","punish, penalize"
694,"3288","翻","fān ","I","(VA)","turn over, turn around, reverse"
695,"3289","翻","fān ","I","(VA)","flip over, translate"
696,"3290","翻譯","fānyì ","I","(VA)","translate,interpret"
701,"3230","繁殖","fánzhí ","I","(VA)","breed, reproduce, propagate"
703,"0235","反","făn ","I","(VA)","opposite"
704,"0242","反對","fănduì ","I","(VA)","oppose, be against, combat, dispute"
707,"1258","返回","fănhuí ","I","(VA)","return, come/go back"
708,"0238","反抗","fănkàng ","I","(VA)","revolt, resist"
710,"0241","反問","fănwèn ","I","(VA)","ask (a question) in reply"
712,"0243","反應","fănyìng ","I","(VA)","react, respond"
715,"0521","犯","fàn ","I","(VA)","criminal"
716,"0523","犯法","fànfă ","I","(VA)","violate law, break law, offend, violate the law, criminal, transgress, break the law"
720,"0524","犯罪","fànzuì ","I","(VA)","commit crime/offense"
723,"1000","防","fáng ","I","(VA)","prevent, resist"
725,"1002","防守","fángshǒu ","I","(VA)","defend, guard"
727,"1001","防止","fángzhĭ ","I","(VA)","prevent, guard against, avoid"
728,"1156","放大","fàngdà ","I","(VA)","enlarge, magnify, amplify"
729,"1158","放棄","fàngqì ","I","(VA)","abandon, give up, renounce"
730,"1157","放手","fàngshŏu ","I","(VA)","let_go"
733,"1282","非","fēi ","I","(VA)","not be, run counter to, not conform to"
745,"0207","分別","fēnbié ","I","(VA)","distinguish, differentiate"
746,"0208","分別","fēnbié ","I","(VA)","leave each other"
