"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
899,"0195","公元","gōngyuán ","I","(N)","Christian era"
900,"0130","工資","gōngzī ","I","(N)","wages, pay"
906,"1780","貢獻","gòngxiàn ","I","(N)","contribute, dedicate, devote"
910,"2791","構造","gòuzào ","I","(N)","structure, construction"
912,"1096","姑姑","gūgū ","I","(N)","father's sister"
914,"1097","姑娘","gūniáng ","I","(N)","girl, daughter"
915,"2728","鼓","gŭ ","I","(N)","drum"
917,"0427","古代","gŭdài ","I","(N)","antiquity"
919,"0430","古蹟","gŭjī ","I","(N)","antiquity, high spot, national monument"
921,"2731","鼓勵","gŭlì ","I","(N)","encouragement"
923,"1825","骨頭","gŭtou ","I","(N)","bone, strong character, person of a certain character"
928,"3405","顧客","gùkè ","I","(N)","customer, shopper,c lient"
929,"3406","顧問","gùwèn ","I","(N)","adviser, consultant"
930,"1402","故鄉","gùxiāng ","I","(N)","native place, hometown, birthplace"
932,"0526","瓜","guā ","I","(N)","melon, gourd"
933,"0527","瓜子","guāzi ","I","(N)","melon seed, melon seeds"
935,"1976","掛號信","guàhàoxìn ","I","(N)","registered letter/mail"
940,"3449","觀點","guāndiăn ","I","(N)","point of view, standpoint"
941,"1103","官方","guānfāng ","I","(N)","government, official"
943,"3358","關鍵","guānjiàn ","I","(N)","key, crux"
944,"3446","觀念","guānniàn ","I","(N)","sense, idea, conception"
947,"1104","官員","guānyuán ","I","(N)","official"
948,"3447","觀眾","guānzhòng ","I","(N)","spectator, audience"
950,"2832","管道","guăndào ","I","(N)","pipeline, conduit, piping"
954,"1312","冠軍","guànjūn ","I","(N)","champion"
955,"2777","慣例","guànlì ","I","(N)","usual practice"
956,"3438","罐頭","guàntóu ","I","(N)","tin, can, canned goods"
957,"3437","罐子","guànzi ","I","(N)","jug, jar, can"
966,"0591","光線","guāngxiàn ","I","(N)","light, ray"
968,"2938","廣場","guăngchăng ","I","(N)","public square"
972,"2936","廣告","guănggào ","I","(N)","advertisement"
977,"2105","規定","guīdìng ","I","(N)","rules, disciplines, regulations"
979,"2110","規畫/劃","guīhuà ","I","(N)","program, plan"
980,"2108","規矩","guījŭ ","I","(N)","rule, custom"
981,"2107","規律","guīlǜ ","I","(N)","law, regular pattern"
982,"2111","規模","guīmó ","I","(N)","scale, scope"
983,"2106","規則","guīzé ","I","(N)","rule, regulation"
984,"1839","鬼","guǐ ","I","(N)","ghost, spirit"
986,"3279","櫃臺/台","guìtái ","I","(N)","counter"
987,"3278","櫃子","guìzi ","I","(N)","cupboard, cabinet"
988,"2382","貴族","guìzú ","I","(N)","noble, aristocrat"
990,"3261","鍋（子）","guō(zi) ","I","(N)","a cooking-pot, saucepan"
991,"1889","國會","guóhuì ","I","(N)","parliament, congress"
992,"1893","國籍","guójí ","I","(N)","nationality"
993,"1892","國際","guójì ","I","(N)","international"
995,"1885","國內","guónèi ","I","(N)","interior (of country), internal, domestic"
996,"1890","國旗","guóqí ","I","(N)","national flag"
997,"1887","國外","guówài ","I","(N)","overseas"
998,"1886","國王","guówáng ","I","(N)","king"
999,"1891","國語","guóyŭ ","I","(N)","national language written and spoken, textbook for primary/middle school students"
1000,"1883","國小","guóxiăo ","I","(N)","primary school"
1001,"1884","國中","guózhōng ","I","(N)","middle school, junior high school"
1005,"2703","過程","guòchéng ","I","(N)","course, process"
1020,"1688","海報","hăibào  ","I","(N)","a playbill, a placard, a poster"
1021,"1690","海關","hăiguān  ","I","(N)","customhouse, customs"
1022,"1686","海軍","hăijūn  ","I","(N)","navy"
1023,"1691","海灘","hăitān  ","I","(N)","beach"
1024,"1685","海外","hăiwài  ","I","(N)","overseas, abroad"
1025,"1687","海峽","hăixiá  ","I","(N)","strait, channel"
1026,"1689","海鮮","hăixiān  ","I","(N)","seafood"
1027,"1601","害處","hàichù ","I","(N)","harm"
1031,"0887","含量","hánliàng  ","I","(N)","content"
1033,"0762","汗","hàn ","I","(N)","sweat, perspiration"
1034,"1760","航空","hángkōng ","I","(N)","aviation"
1035,"0819","行業","hángyè ","I","(N)","trade, profession, industry"
1061,"1186","河流","héliú ","I","(N)","river"
1068,"2451","黑夜","hēiyè ","I","(N)","dark night"
1069,"2069","痕跡","hénjī ","I","(N)","mark, trace, vestige"
1070,"1374","恨","hèn ","I","(N)","hatred"
1074,"2201","喉嚨","hóulóng ","I","(N)","throat"
1075,"2304","猴子","hóuzi ","I","(N)","monkey, clever/glib/sharp-tongued person"
